time,t,T,s,i,open,close,high,low,volume,n
2026-01-01 21:05:00,1767301500000,1767301559999,DOGE,1m,0.12616,0.12597,0.12616,0.12597,3801.0,3
2026-01-01 21:06:00,1767301560000,1767301619999,DOGE,1m,0.12603,0.12604,0.12605,0.12603,1287.0,4
2026-01-01 21:07:00,1767301620000,1767301679999,DOGE,1m,0.126,0.126,0.126,0.126,108622.0,4
2026-01-01 21:08:00,1767301680000,1767301739999,DOGE,1m,0.12592,0.12592,0.12592,0.12592,833.0,2
2026-01-01 21:09:00,1767301740000,1767301799999,DOGE,1m,0.12588,0.12585,0.12588,0.12585,13856.0,8
2026-01-01 21:10:00,1767301800000,1767301859999,DOGE,1m,0.12592,0.12594,0.12594,0.12592,445.0,2
2026-01-01 21:11:00,1767301860000,1767301919999,DOGE,1m,0.12595,0.12595,0.12595,0.12595,87.0,1
2026-01-01 21:12:00,1767301920000,1767301979999,DOGE,1m,0.12596,0.12592,0.12596,0.12592,272.0,2
2026-01-01 21:13:00,1767301980000,1767302039999,DOGE,1m,0.12601,0.126,0.12601,0.126,948.0,2
2026-01-01 21:14:00,1767302040000,1767302099999,DOGE,1m,0.12597,0.12598,0.12598,0.12597,1283.0,3
2026-01-01 21:15:00,1767302100000,1767302159999,DOGE,1m,0.12599,0.12601,0.12601,0.12599,716.0,3
2026-01-01 21:16:00,1767302160000,1767302219999,DOGE,1m,0.12603,0.12599,0.12604,0.12599,32912.0,6
2026-01-01 21:17:00,1767302220000,1767302279999,DOGE,1m,0.12599,0.12599,0.12599,0.12599,422.0,1
2026-01-01 21:18:00,1767302280000,1767302339999,DOGE,1m,0.12604,0.126,0.12604,0.126,13947.0,3
2026-01-01 21:19:00,1767302340000,1767302399999,DOGE,1m,0.12603,0.12604,0.12604,0.12603,272.0,2
2026-01-01 21:20:00,1767302400000,1767302459999,DOGE,1m,0.12604,0.12604,0.12604,0.12604,0.0,0
2026-01-01 21:21:00,1767302460000,1767302519999,DOGE,1m,0.12605,0.126,0.12605,0.126,986386.0,6
2026-01-01 21:22:00,1767302520000,1767302579999,DOGE,1m,0.126,0.126,0.126,0.126,0.0,0
2026-01-01 21:23:00,1767302580000,1767302639999,DOGE,1m,0.12599,0.12599,0.12599,0.12599,541.0,2
2026-01-01 21:24:00,1767302640000,1767302699999,DOGE,1m,0.12599,0.12599,0.12599,0.12599,0.0,0
2026-01-01 21:25:00,1767302700000,1767302759999,DOGE,1m,0.1259,0.1259,0.1259,0.1259,381.0,2
2026-01-01 21:26:00,1767302760000,1767302819999,DOGE,1m,0.12591,0.12591,0.12591,0.12591,14840.0,2
2026-01-01 21:27:00,1767302820000,1767302879999,DOGE,1m,0.12592,0.1259,0.12592,0.1259,377.0,2
2026-01-01 21:28:00,1767302880000,1767302939999,DOGE,1m,0.12593,0.12593,0.12593,0.12593,962.0,4
2026-01-01 21:29:00,1767302940000,1767302999999,DOGE,1m,0.12587,0.12587,0.12587,0.12587,155.0,1
