Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ta_wrapper(ema,C,200)","Exit_ta_wrapper(ema,C,200)","Entry_ta_adx_wr…(H,L,C,14)","Exit_ta_adx_wr…(H,L,C,14)","Entry_ta_wrapper(sma,V,20)","Exit_ta_wrapper(sma,V,20)"
16,6952,6954,56712.01,56496.64944,56496.64944,58044.36,-5257.107511040016,1811.33855104,-0.005793644405126863,2024-09-11 08:00:00,2024-09-11 08:30:00,0 days 00:30:00,,56580.329740896304,56577.96111505247,33.94168501315361,32.03324678078956,255.891482,255.26984650000003
16,7071,7071,57708.0,57515.54232,57515.54232,58470.01,-4922.899557119992,1843.57667712,-0.005331690966936966,2024-09-12 13:45:00,2024-09-12 13:45:00,0 days 00:00:00,,57316.44470322156,57316.44470322156,22.038562782125773,22.038562782125773,322.9066405,322.9066405
16,7072,7074,57628.0,58470.01,57547.41416,58470.01,11614.591840000032,1857.56816,0.012596515409176126,2024-09-12 14:00:00,2024-09-12 14:30:00,0 days 00:30:00,,57322.984457418366,57338.97248875585,21.280192978476,21.0544095050595,341.127814,424.31258699999995
15,7664,7664,60013.02,60769.0,59606.529559999995,60769.0,9527.969700000049,1811.7303,0.010584336199044957,2024-09-18 18:00:00,2024-09-18 18:00:00,0 days 00:00:00,,59663.296143196785,59663.296143196785,26.700873219797376,26.700873219797376,523.5266195,523.5266195
15,7779,7800,62894.0,63850.0,62288.39128,63850.0,12438.84,1901.1599999999999,0.01318497789932264,2024-09-19 22:45:00,2024-09-20 04:00:00,0 days 05:15:00,,61604.15848609871,61882.48793202172,23.87329143904853,22.65416321397938,227.40538800000002,257.29754
15,7841,8084,62616.91,64133.32,62303.825450000004,64133.32,20844.896549999943,1901.2534500000002,0.022193042901669735,2024-09-20 14:15:00,2024-09-23 03:00:00,2 days 12:45:00,,62405.124842843274,63041.81642863542,22.58802836826341,15.115609523904748,310.58749750000004,408.32166
15,8123,8170,63297.87,62845.0718,62845.0718,64745.88,-8684.11712700007,1892.144127,-0.009146297368300103,2024-09-23 12:45:00,2024-09-24 00:30:00,0 days 11:45:00,,63235.9748708111,63276.65537765723,23.2501954637327,26.962930755335446,194.471711,151.473477
15,8291,8304,63967.01,63440.93388,63440.93388,64817.99,-9802.260958200077,1911.1191582000001,-0.010215954503423016,2024-09-25 06:45:00,2024-09-25 10:00:00,0 days 03:15:00,,63675.05178918804,63688.21389031822,22.650874414556426,32.44753781162946,144.60393150000002,185.83823049999998
15,8320,8320,63761.33,63695.39916,63695.39916,64817.99,-2900.8135374000135,1911.8509374,-0.0030329914567341,2024-09-25 14:00:00,2024-09-25 14:00:00,0 days 00:00:00,,63685.94363462415,63685.94363462415,36.05824420501588,36.05824420501588,208.30375850000001,208.30375850000001
15,9458,9473,62983.08,63970.19,62642.31076,63970.19,12902.35095000001,1904.29905,0.013656949294953485,2024-10-07 10:30:00,2024-10-07 14:15:00,0 days 03:45:00,,62625.25985731153,62702.69233398939,22.348957375841337,29.660042245393612,196.82785950000002,404.9876975000001
