Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ta_wrapper(ema,C,20)","Exit_ta_wrapper(ema,C,20)","Entry_ta_wrapper(sma,V,20)","Exit_ta_wrapper(sma,V,20)"
10,13763,13794,97366.44,96692.0,96692.0,100737.49,-8684.984400000023,1940.5844000000002,-0.0089198951918135,2024-11-21 06:45:00,2024-11-21 14:30:00,0 days 07:45:00,,96484.44571620885,97461.02783228303,911.8608301999999,849.7698459999999
10,15073,15092,97961.06,103003.01,97416.59,103003.01,48409.85929999997,2009.6407,0.04941745148531466,2024-12-04 22:15:00,2024-12-05 03:00:00,0 days 04:45:00,,97389.96054392733,99214.04202224348,809.819684,1336.8744481
10,15099,15102,102628.01,102383.8,102383.8,109588.68,-4492.218099999918,2050.1180999999997,-0.0043771852343233685,2024-12-05 04:45:00,2024-12-05 05:30:00,0 days 00:45:00,,101114.84917384454,101559.89877371771,1705.7796070999998,1755.5838811
10,15103,15103,102100.0,102084.39,102084.39,109879.99,-2197.9439000000057,2041.8439,-0.0021527364348678042,2024-12-05 05:45:00,2024-12-05 05:45:00,0 days 00:00:00,,101644.67127145888,101644.67127145888,1802.4238456000003,1802.4238456000003
10,15104,15105,102450.01,101706.35,101706.35,110212.02,-9478.163599999889,2041.5636,-0.009251500902732803,2024-12-05 06:00:00,2024-12-05 06:15:00,0 days 00:15:00,,101669.59781703421,101686.35135826905,1811.6970466000002,1820.9741911
9,15106,15109,101845.5,101421.59,101421.59,109688.43,-5644.593810000031,1829.40381,-0.006158122744745783,2024-12-05 06:30:00,2024-12-05 07:15:00,0 days 00:45:00,,101708.60456224342,101752.38103362784,1852.6415246000001,1914.3089056000003
9,16144,16145,105532.0,104979.39,104979.39,110281.62,-6868.092510000006,1894.6025100000002,-0.007231184759125234,2024-12-16 02:00:00,2024-12-16 02:15:00,0 days 00:15:00,,104565.35222758964,104569.61487258109,657.04560055,665.16001355
9,16146,16147,104610.11,104522.25,104522.25,110195.49,-2672.9312400000053,1882.19124,-0.002839040700750666,2024-12-16 02:30:00,2024-12-16 02:45:00,0 days 00:15:00,,104570.38393233527,104571.80641497001,670.2254250500001,686.6961980500001
9,16148,16151,104585.32,104446.28,104446.28,110332.13,-3132.6444000000733,1881.2844,-0.0033281114404967184,2024-12-16 03:00:00,2024-12-16 03:45:00,0 days 00:45:00,,104605.93723259191,104635.76903340331,690.5601710500002,707.81141905
9,16208,16212,107078.55,106376.0,106376.0,110351.5,-8244.040950000026,1921.0909500000002,-0.008554510217032298,2024-12-16 18:00:00,2024-12-16 19:00:00,0 days 01:00:00,,106176.13618041622,106469.79021995992,649.5736504,815.5595926999999
10,16588,16604,96728.0,96300.0,96300.0,102048.29,-6210.28,1930.28,-0.006420353982300892,2024-12-20 17:00:00,2024-12-20 21:00:00,0 days 04:00:00,,96193.8532376297,96710.25532295552,900.1985195000001,425.60721049999995
10,16908,16911,94550.23,94131.11,94131.11,98429.93,-6078.013399999953,1886.8134,-0.006428343326081771,2024-12-24 01:00:00,2024-12-24 01:45:00,0 days 00:45:00,,94382.73629870417,94348.66231862779,295.1695955,250.8935965
9,16978,16981,98457.43,98325.78,98325.78,102673.64,-2955.8988899999476,1771.04889,-0.0033357889800698028,2024-12-24 18:30:00,2024-12-24 19:15:00,0 days 00:45:00,,97846.92601553316,98006.6386416739,543.7439265,475.884635
10,17559,17565,94268.67,93939.29,93939.29,97484.18999999999,-5175.879600000047,1882.0796,-0.005490561816561133,2024-12-30 19:45:00,2024-12-30 21:15:00,0 days 01:30:00,,93648.04311609265,93956.10316593312,467.995979,350.71000200000003
9,18223,18294,101414.7,101250.0,101250.0,105802.88,-3306.2822999999735,1823.9823,-0.0036224008945448753,2025-01-06 17:45:00,2025-01-07 11:30:00,0 days 17:45:00,,101137.71065781018,101527.52613280076,572.336089,167.395553
