Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ta_wrapper(ema,C,9)","Exit_ta_wrapper(ema,C,9)","Entry_ta_wrapper(ema,C,21)","Exit_ta_wrapper(ema,C,21)","Entry_ta_wrapper(rsi,C,14)","Exit_ta_wrapper(rsi,C,14)","Entry_ta_wrapper(sma,V,20)","Exit_ta_wrapper(sma,V,20)","Entry_ta_atr_wr…(H,L,C,14)","Exit_ta_atr_wr…(H,L,C,14)"
15,5797,5818,59423.0,59756.99379102242,59200.33747265172,59756.99379102242,3222.206958470934,1787.6999068653363,0.003614994147575767,2024-08-30 07:15:00,2024-08-30 12:30:00,0 days 05:15:00,,59224.62085421162,59540.35979473694,59150.1606719159,59474.54871092865,65.18446471135555,61.45858623840843,222.11414599999998,246.18659000000002,186.2883842575962,197.7441733259821
16,6089,6090,57833.01,58187.41138796542,57596.742408023056,58187.41138796542,3814.0954652392056,1856.3267422074468,0.004121884138097804,2024-09-02 08:15:00,2024-09-02 08:30:00,0 days 00:15:00,,57759.005504009314,57836.68440320746,57695.481752718966,57736.56522974451,65.09544255755877,64.52732602959838,208.5124325,223.6766405,213.09968426787282,211.80684967731048
16,6173,6176,59247.99,59042.72414055203,59042.72414055203,59555.91378917195,-5176.905177416278,1892.6514262488326,-0.00546105570144266,2024-09-03 05:15:00,2024-09-03 06:00:00,0 days 00:45:00,,59205.29484805603,59149.4088022047,59199.79486855212,59174.835205523756,53.016903595757015,42.04190929104245,214.5321125,215.955799,162.65870076330728,158.49760771756044
16,6307,6307,57089.88,57545.27446021915,56786.26702652057,57545.27446021915,5452.148892142974,1834.1624713635065,0.00596882154523587,2024-09-04 14:45:00,2024-09-04 14:45:00,0 days 00:00:00,,56808.595633890116,56808.595633890116,56690.90754323405,56690.90754323405,71.29096270348757,71.29096270348757,374.54518,374.54518,274.0523009067038,274.0523009067038
16,6447,6468,56501.01,56234.65841005535,56234.65841005535,56900.512384916976,-6065.396133675289,1803.7706945608857,-0.006709389059677093,2024-09-06 01:45:00,2024-09-06 07:00:00,0 days 05:15:00,,56296.243048507145,56388.520539441844,56239.29723659723,56447.56965967748,61.94793549246973,39.72626909718901,163.2391695,166.2116575,217.74051602859691,173.485301543899
16,6491,6493,56500.01,56978.58843889824,56180.94104073451,56978.58843889824,5841.597447349398,1815.657575022372,0.006461942935219672,2024-09-06 12:45:00,2024-09-06 13:15:00,0 days 00:30:00,,56230.454344642465,56429.30438057118,56127.936892279664,56241.94949775178,71.1941339501668,66.46107366097503,455.81342450000005,476.9938175000001,283.2830041935334,277.9047842280976
17,6704,6705,54510.0,54304.854709185754,54304.854709185754,54817.74293622138,-5337.322473898332,1849.8525300561578,-0.0057596797931284294,2024-09-08 18:00:00,2024-09-08 18:15:00,0 days 00:15:00,,54211.583004471286,54227.26840357703,54182.36780543211,54192.153459483736,56.02108747944423,53.07266064790618,213.60573199999996,211.4525195,172.25754646340786,171.95343600173587
17,6761,6764,55144.03,55464.00411996924,54930.713920020506,55464.00411996924,3559.223459437662,1880.3365800394772,0.0037967135490327535,2024-09-09 08:15:00,2024-09-09 09:00:00,0 days 00:45:00,,54985.79927996313,55127.660511341135,54928.48817022663,55013.65173570745,63.03835916228795,66.74865857280822,208.10754300000002,206.74147100000005,174.20029998413182,182.03799528612856
16,7144,7147,58109.31,57965.61612822472,57965.61612822472,58324.850807662915,-4156.300766456047,1857.1988180515955,-0.0044703473144578985,2024-09-13 08:00:00,2024-09-13 08:45:00,0 days 00:45:00,,57976.37966189402,57985.158866889746,57957.69359131684,57967.724967180184,57.39678443639274,48.95904058765406,139.69080300000002,129.7386075,118.27811506420464,115.75931807436511
16,7169,7170,58221.1,58001.22091141576,58001.22091141576,58550.91863287636,-5377.622551930477,1859.5571345826522,-0.00577284540305237,2024-09-13 14:15:00,2024-09-13 14:30:00,0 days 00:15:00,,58019.62199019453,58076.89559215563,58009.26549829072,58036.240452991566,52.43872080537961,59.06922020045862,290.87151650000004,314.4280105,187.71596140447235,209.99482130415308
