Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ,Exit_λ,"Entry_ta_adx_wr…(H,L,C,14)","Exit_ta_adx_wr…(H,L,C,14)","Entry_ta_atr_wr…(H,L,C,14)","Exit_ta_atr_wr…(H,L,C,14)"
15,4863,4864,60774.99,60488.89287855441,60488.89287855441,61382.7298,-6110.4150648621035,1818.9582431783163,-0.006702773695629388,2024-08-20 13:45:00,2024-08-20 14:00:00,0 days 00:15:00,,60999.51309476986,60988.10588602105,25.012288347209694,24.877329132163197,196.54226565679429,238.5928181098804
15,4960,4960,59928.01,59544.59429465509,59544.59429465509,60527.28,-7543.32464459346,1792.0890644198264,-0.0083915402770685,2024-08-21 14:00:00,2024-08-21 14:00:00,0 days 00:00:00,,59744.48060418148,59744.48060418148,13.414737268713285,13.414737268713285,293.2599604516073,293.2599604516073
14,5524,5536,62332.06,62083.28626621338,62083.28626621338,62736.512500000004,-5224.647120739669,1741.8148477269872,-0.005987112892672463,2024-08-27 11:00:00,2024-08-27 14:00:00,0 days 03:00:00,,63105.278619465586,62794.78674786468,26.53855332960613,35.03522441638887,169.71088282029285,223.35529560089313
15,5824,5824,59653.0,59303.672799298496,59303.672799298496,60249.53,-7024.258102512036,1784.3500919894775,-0.007850131150165206,2024-08-30 14:00:00,2024-08-30 14:00:00,0 days 00:00:00,,59712.0383807061,59712.0383807061,20.29483870137316,20.29483870137316,255.9637432914073,255.9637432914073
15,5902,5907,58931.99,59152.3315,58805.12516069664,59152.3315,1533.857677500034,1771.2648225,0.0017351726710738333,2024-08-31 09:30:00,2024-08-31 10:45:00,0 days 01:15:00,,59392.38304557587,59285.584009730665,23.301150441483543,22.147275991236757,86.28442433065365,87.31458778894488
15,6016,6016,58175.0,57897.218035824684,57897.218035824684,58756.7601,-5907.812733167108,1741.0832705373703,-0.006770162135129133,2024-09-01 14:00:00,2024-09-01 14:00:00,0 days 00:00:00,,58400.528246646914,58400.528246646914,24.57925776332088,24.57925776332088,241.8235968704371,241.8235968704371
15,6054,6089,57374.01,58151.635500000004,56956.69049104927,58151.635500000004,9931.497817500029,1732.8846825,0.011540065867803212,2024-09-01 23:30:00,2024-09-02 08:15:00,0 days 08:45:00,,59050.500330434304,58001.501016831164,22.583517460879936,13.076786639879561,274.04564839807273,213.09968426787282
15,6360,6369,57135.42,56822.53340149762,56822.53340149762,57828.2755,-6402.66827855817,1709.3693010224642,-0.007470751976687682,2024-09-05 04:00:00,2024-09-05 06:15:00,0 days 02:15:00,,58542.49523090504,58064.02488638182,29.081953151354053,34.85834885959216,207.69098954909245,198.87023368830023
16,6472,6490,55804.28,56404.7285,55436.18451303283,56404.7285,7811.831863999978,1795.344136,0.008749140594592262,2024-09-06 08:00:00,2024-09-06 12:30:00,0 days 04:30:00,,57063.2430318908,56303.27319573667,29.294562076669667,24.741911531815465,237.44625383682094,265.88246605457454
16,6695,6695,53899.99,53682.19412268735,53682.19412268735,54312.172000000006,-5206.048982965313,1721.3149459629976,-0.0060366998479096275,2024-09-08 15:45:00,2024-09-08 15:45:00,0 days 00:00:00,,54764.97205739428,54764.97205739428,30.724757774695405,30.724757774695405,157.96268595545078,157.96268595545078
15,6972,6974,56748.0,56410.01505226085,56410.01505226085,57315.4901,-6767.14444187112,1697.3702257839127,-0.007949935905959816,2024-09-11 13:00:00,2024-09-11 13:30:00,0 days 00:30:00,,56940.025653092816,56958.19489107504,16.24972227967812,16.13006177731839,240.48496764804577,265.7878037373457
15,7073,7074,57973.68,58553.426900000006,57670.61913491731,58553.426900000006,6948.296896500084,1747.9066035,0.00799017404277252,2024-09-12 14:15:00,2024-09-12 14:30:00,0 days 00:15:00,,58287.44772395087,58277.6346273905,20.522539785967716,21.0544095050595,213.39101171785532,240.7637965951514
15,7233,7251,60020.01,59837.00063050729,59837.00063050729,60299.6805,-4542.9957018483,1797.8551594576095,-0.0050460901309950235,2024-09-14 06:15:00,2024-09-14 10:45:00,0 days 04:30:00,,60596.845671099356,60147.208601592225,26.73393643039513,28.010941838082957,118.00032397167824,103.48692708888632
15,7349,7355,59934.34,60085.088500000005,59842.1709702162,60085.088500000005,460.9360725001318,1800.2914275,0.0005127122697939812,2024-09-15 11:15:00,2024-09-15 12:45:00,0 days 01:30:00,,60246.02009054727,60149.5554469414,31.833196142140118,31.626804346188873,61.849875580446344,63.924353205905966
15,7362,7372,60073.97,59928.289907111124,59928.289907111124,60674.7097,-3985.2352919398218,1800.033898606667,-0.00442258690071571,2024-09-15 14:30:00,2024-09-15 17:00:00,0 days 02:30:00,,60216.59028927446,60395.72984032639,25.00745617610826,21.367936965464175,98.75077178835402,137.11825783882742
14,7598,7630,60227.99,59897.874575967595,59897.874575967595,60830.28,-6303.378040517189,1681.7621040635463,-0.007475615384281797,2024-09-18 01:30:00,2024-09-18 09:30:00,0 days 08:00:00,,60390.44251162823,60593.517256325664,20.733862330109005,19.61261746762733,217.5762148772015,151.1951783780101
14,7634,7644,59679.99,60154.4005,59402.171913139675,60154.4005,4964.065533000075,1677.681467,0.005941289693580801,2024-09-18 10:30:00,2024-09-18 13:00:00,0 days 02:30:00,,60692.57936764256,60223.22282942128,28.43817479916376,29.11752780182104,191.31048234210687,181.19225297337337
14,7840,7842,62836.46,63356.18000000001,62519.383215175694,63356.18000000001,5509.383040000118,1766.6969600000002,0.006262723266078388,2024-09-20 14:00:00,2024-09-20 14:30:00,0 days 00:30:00,,63939.35909282211,63904.79414504827,22.751447438079637,21.218266849793217,225.099914415046,271.5499262048104
14,8129,8130,63476.71,63156.3999039812,63156.3999039812,64111.4872,-6257.204882918966,1772.8635386557366,-0.007041058144361684,2024-09-23 14:15:00,2024-09-23 14:30:00,0 days 00:15:00,,63703.815698711835,63690.21888022689,23.94437550047939,23.556628632868694,224.84482134497537,253.7894769631914
14,8158,8170,63365.8,63096.63123628655,63096.63123628655,63999.458000000006,-5538.83672929635,1770.4740373080117,-0.006243607670853028,2024-09-23 21:30:00,2024-09-24 00:30:00,0 days 03:00:00,,63525.60286155389,63425.32266819034,15.562895062948659,26.962930755335446,179.18113944166313,189.75729911169796
13,8294,8304,63826.0,63597.52922294904,63597.52922294904,64183.90150000001,-4626.625981560857,1656.5058798983378,-0.005576008308117523,2024-09-25 07:30:00,2024-09-25 10:00:00,0 days 02:30:00,,64580.74173403771,64208.455142454375,25.245037278649928,32.44753781162946,149.28381436488195,140.40555520692914
13,8586,8588,65642.63,65492.57742001939,65492.57742001939,65895.14349999999,-3655.4412362082185,1704.7576964602522,-0.004283615501094795,2024-09-28 08:30:00,2024-09-28 09:00:00,0 days 00:30:00,,66147.80549926114,66140.01645203597,19.47874755708532,22.686476677046745,102.25326379752063,108.62842643765897
13,8590,8609,65518.17,65807.8685,65355.410763176114,65807.8685,2058.8419994999817,1707.2385005,0.0024172296250033016,2024-09-28 09:30:00,2024-09-28 14:15:00,0 days 04:45:00,,66088.58877363465,65847.70672693575,26.411079195239793,24.97797493544343,105.74976565287969,114.6868760949978
13,8675,8696,65538.11,65743.0165,65420.359336166606,65743.0165,957.1298554999651,1706.6546445000001,0.0011233978749157296,2024-09-29 06:45:00,2024-09-29 12:00:00,0 days 05:15:00,,65961.59491247099,65730.36109865301,24.95609149032734,19.222014519237955,76.61255380162629,68.27049530568178
13,8747,8751,65341.99,65130.19030800532,65130.19030800532,65709.46750000001,-4449.534339934838,1696.1383440040693,-0.005238161131956298,2024-09-30 00:45:00,2024-09-30 01:45:00,0 days 01:00:00,,66059.1605233491,66092.1597277544,23.3576468120503,25.287106964926675,142.15171409194173,175.38890999010673
14,8988,8991,60798.8,61345.19850000001,60444.84328191483,61345.19850000001,5939.563021000144,1710.0159790000002,0.0069780078142990315,2024-10-02 13:00:00,2024-10-02 13:45:00,0 days 00:45:00,,61889.23036854126,61682.68159577991,28.01346385555406,29.60769370204272,240.25892071939322,286.3046023398348
14,9069,9075,60418.01,61035.2465,60080.35945545696,61035.2465,6940.965408999987,1700.3455910000002,0.008205885025011551,2024-10-03 09:15:00,2024-10-03 10:45:00,0 days 01:30:00,,61755.27696171864,61551.81210968547,28.047878179045608,24.302078543134833,231.49319424093218,199.6758865394731
14,9459,9460,63026.0,62802.87172571416,62802.87172571416,63416.62600000001,-4885.400044161736,1761.6042041599983,-0.005536717323192813,2024-10-07 10:45:00,2024-10-07 11:00:00,0 days 00:15:00,,63894.51646765047,63903.603732409676,24.242132291399603,26.667778352055812,149.62131265313846,159.2983617493433
